,plan1,plan2,plan3,plan4,sequence,combination
1,45,0.03,0.006,0.003,158,158
1,45,0.03,0.006,0.003,159,159
1,45,0.03,0.006,0.003,160,160
1,45,0.03,0.006,0.003,161,161
1,45,0.03,0.006,0.003,162,162
1,45,0.03,0.006,0.003,163,163
1,45,0.03,0.006,0.003,164,164
1,45,0.03,0.006,0.003,165,165
1,45,0.03,0.006,0.003,166,166
1,45,0.03,0.006,0.003,167,167
1,45,0.03,0.006,0.003,168,168
1,45,0.03,0.006,0.003,169,169
1,45,0.03,0.006,0.003,170,170
1,45,0.03,0.006,0.003,171,171
1,45,0.03,0.006,0.003,172,172
1,45,0.03,0.006,0.003,173,173
1,45,0.03,0.006,0.003,174,174
1,45,0.03,0.006,0.003,175,175
1,45,0.03,0.006,0.003,176,176
1,45,0.03,0.006,0.003,177,177
1,45,0.03,0.006,0.003,178,178
1,45,0.03,0.006,0.003,179,179
1,45,0.03,0.006,0.003,180,180
1,45,0.03,0.006,0.003,181,181
1,45,0.03,0.006,0.003,182,182
1,45,0.03,0.006,0.003,183,183
1,45,0.03,0.006,0.003,184,184
1,45,0.03,0.006,0.003,185,185
1,45,0.03,0.006,0.003,186,186
1,45,0.03,0.006,0.003,187,187
1,45,0.03,0.006,0.003,188,188
1,45,0.03,0.006,0.003,189,189
1,45,0.03,0.006,0.003,190,190
1,45,0.03,0.006,0.003,191,191
1,45,0.03,0.006,0.003,192,192
1,45,0.03,0.006,0.003,193,193
1,45,0.03,0.006,0.003,194,194
1,45,0.03,0.006,0.003,195,195
1,45,0.03,0.006,0.003,196,196
1,45,0.03,0.006,0.003,197,197
1,45,0.03,0.006,0.003,198,198
1,45,0.03,0.006,0.003,199,199
1,45,0.03,0.006,0.003,200,200
1,45,0.03,0.006,0.003,201,201
1,45,0.03,0.006,0.003,202,202
1,45,0.03,0.006,0.003,203,203
1,45,0.03,0.006,0.003,204,204
1,45,0.03,0.006,0.003,205,205
1,45,0.03,0.006,0.003,206,206
1,45,0.03,0.006,0.003,207,207
1,45,0.03,0.006,0.003,208,208
1,45,0.03,0.006,0.003,209,209
1,45,0.03,0.006,0.003,210,210
1,45,0.03,0.006,0.003,211,211
1,45,0.03,0.006,0.003,212,212
1,45,0.03,0.006,0.003,213,213
1,45,0.03,0.006,0.003,214,214
1,45,0.03,0.006,0.003,215,215
1,45,0.03,0.006,0.003,216,216
1,45,0.03,0.006,0.003,217,217
1,45,0.03,0.006,0.003,218,218
1,45,0.03,0.006,0.003,219,219
1,45,0.03,0.006,0.003,220,220
1,45,0.03,0.006,0.003,221,221
1,45,0.03,0.006,0.003,222,222
1,45,0.03,0.006,0.003,223,223
1,45,0.03,0.006,0.003,224,224
1,45,0.03,0.006,0.003,225,225
1,45,0.03,0.006,0.003,226,226
1,45,0.03,0.006,0.003,227,227
1,45,0.03,0.006,0.003,228,228
1,45,0.03,0.006,0.003,229,229
1,45,0.03,0.006,0.003,230,230
1,45,0.03,0.006,0.003,231,231
1,45,0.03,0.006,0.003,232,232
1,45,0.03,0.006,0.003,233,233
1,45,0.03,0.006,0.003,234,234
1,45,0.03,0.006,0.003,235,235
1,45,0.03,0.006,0.003,236,236
1,45,0.03,0.006,0.003,237,237
1,45,0.03,0.006,0.003,238,238
