1 VARIABLE

VARIABLE 1 : VALUE

#Short No Flowers Charge1 from 1 to 20
0 0 0    
0 0 1 0 0  
0 0 0 0   
0 0 1 0 0  
0 0 0    
0 0 0 0   
0 0     
1 0 0 0 0  
0 0     
0 0 0    
0 0 0 1 0 0 0
0 0 0 0 1  
0 0 0    
1 0 1 0   
0 0 0    
0 0 0 0 0  
0 1 0 1   
0 0 0    
1 0     
0 0 0    
